,Data Source,"Passenger car sales, 2010-2022 – Charts – Data & Statistics - IEA",,,
,,,,,
Year,Global vehicle sales (millions),Global traditional energy vehicle sales (millions),Global new energy vehicle sales(millions),Global new energy vehicle market share (%),
2011,71.239,71.2,0.039,0.05,
2012,73.758,73.7,0.058,0.08,
2013,77.5,77.3,0.2,0.26,
2014,80,79.7,0.3,0.38,
2015,81.8,81.3,0.5,0.61,
2016,86.4,85.6,0.8,0.93,
2017,86.3,85.1,1.2,1.39,
2018,85.6,83.6,2,2.34,
2019,81.3,79.3,2,2.46,
2020,71.8,68.7,3.1,4.32,
2021,74.9,68.3,6.6,8.81,
2022,74.8,64,10.8,14.44,
,,,,,
,,,,,
,绘制两者散点图,,,,
,,,,,
,Year,Global new energy vehicle sales(millions),Global traditional energy vehicle sales (millions),,
,2011,0.039,71.2,,
,2012,0.058,73.7,,
,2013,0.2,77.3,,
,2014,0.3,79.7,,
,2015,0.5,81.3,,
,2016,0.8,85.6,,
,2017,1.2,85.1,,
,2018,2,83.6,,
,2019,2,79.3,,
,2020,3.1,76.5,,
,2021,6.6,74.67,,
,2022,10.8,73.48,,
,,,,,
,,,,,
,观察图形可知，两者非线性关系，这里考虑采用曲线回归问题（需要配曲线），配曲线的一般方法是：,,,,
,1. 画出散点图 ， 2. 根据散点图确定须配曲线的类型， 3. 估计其中的未知参数,,,,
,,,,,
,通过散点图判断，设其关系曲线为,"y = ax*e^(-bx) ,       a > 0,b > 0",,,
,,,,,
,上述关系曲线通过原点，我们的数据存在截距70，所以需要改为,,,"y = ax*e^(-bx) + 70, a,b > 0",
,,,,,
,我们先让全球传统能源汽车销量原始数据减去70，得到的新数据如下：,,,,
,Year,Global new energy vehicle sales(millions),Global traditional energy vehicle sales (millions),,
,2011,0.039,1.2,,
,2012,0.058,3.7,,
,2013,0.2,7.3,,
,2014,0.3,9.7,,
,2015,0.5,11.3,,
,2016,0.8,15.6,,
,2017,1.2,15.1,,
,2018,2,13.6,,
,2019,2,9.3,,
,2020,3.1,6.5,,
,2021,6.6,4.67,,
,2022,10.8,3.48,,
,,,,,
,2.曲线变换,,,,
,y = ax*e^(-bx)，,,,,
,两边除以x，再取对数ln，令y' = ln(y/x)，b' = -b，a' = lna,,,,
,可得 y' = b'x + a',,,,
,,,,,
,此时变换后的数据如下表,,,,
,,x,y',,
,,0.039,3.43,,
,,0.058,4.16,,
,,0.2,3.60,,
,,0.3,3.48,,
,,0.5,3.12,,
,,0.8,2.97,,"0.039,0.058,0.2,0.3,0.5,0.8,1.2,2,2,3.1,6.6,10.8"
,,1.2,2.53,,
,,2,1.92,,
,,2,1.54,,"3.43,4.16,3.6,3.48,3.12,2.97,2.53,1.92,1.54,0.74,-0.35,-1.13"
,,3.1,0.74,,
,,6.6,-0.35,,
,,10.8,-1.13,,
,,,,,
,此时即可用线性回归计算。,,,,
,利用线性回归的方法，算得,,b' = -0.479，a’ = 3.27,,
,即 a = 26.31，b = 0.479，,,,,
,同时求得R方 = 0.874，F = ,,,,
,可知拟合效果较好。,,,,
,,,,,
,代入关系曲线，可得到：,,"y = 26.31x*e^(-0.479x) + 70, a,b > 0",,
,故 全球新能源电动汽车 与 全球传统能源汽车产业的关系为 泊松关系,,,,
,随着新能源电动汽车的发展，传统能源汽车产业的发展（junlong写，意思大概是 新能源产业 会“吃掉” 传统产业）,,,,