月份,AQI,范围,质量等级,质量等级,PM2.5,PM10,CO,NO2,SO2,O3,生活消费（汽油：吨）,交通运输、仓储和邮政业的总能耗,电动公车数,电动车数
2013-12,100,23~291,轻度污染,1,73,97,1.73,56,37,38,180.7,1325,3012,
2014-1,125,26~402,轻度污染,1,94,123,1.948,65,51,37,170.34,1328.54,3304,插值之后的数据，在有些实际数据中发生异常，看graph
2014-02,184,33~428,中度污染,0,148,155,2.171,69,56,42,162.37,1330.80,3531,
2014-03,130,35~319,轻度污染,1,94,138,1.39,62,34,83,156.65,1331.85,3699,
2014-04,127,65~279,轻度污染,1,89,145,0.927,57,16,129,153.04,1331.80,3816,
2014-05,107,46~205,轻度污染,1,61,118,0.839,47,15,149,151.41,1330.75,3888,
2014-06,116,50~179,轻度污染,1,54,74,0.79,39,6,168,151.6,1328.80,3921,
2014-07,140,39~252,轻度污染,1,89,100,0.939,39,6,170,153.49,1326.03,3923,
2014-08,120,46~200,轻度污染,1,62,88,0.839,43,5,172,156.92,1322.55,3900,
2014-09,99,43~200,良,2,65,88,0.983,49,6,106,161.77,1318.46,3860,
2014-10,154,28~381,中度污染,0,118,148,1.339,70,9,54,167.88,1313.85,3808,
2014-11,117,29~342,轻度污染,1,86,127,1.567,65,16,37,175.13,1308.81,3752,
2014-12,86,21~267,良,2,58,95,1.552,53,28,42,182.5,1304,3704,
2015-1,126,28~378,轻度污染,1,97,120,1.91,66,34,39,192.45,1297.87,3654,
2015-02,127,36~334,轻度污染,1,93,114,1.457,51,26,60,202.24,1292.15,3626,
2015-03,127,40~281,轻度污染,1,86,146,1.194,53,20,87,212.6,1286.40,3621,
2015-04,107,38~212,轻度污染,1,71,118,0.76,43,9,124,223.39,1280.71,3645,
2015-05,105,42~203,轻度污染,1,55,97,0.745,37,8,153,234.47,1275.18,3706,
2015-06,111,35~231,轻度污染,1,60,70,1.303,35,6,156,245.7,1269.91,3810,
2015-07,122,41~200,轻度污染,1,61,74,0.823,35,4,177,256.93,1264.99,3964,
2015-08,104,37~202,轻度污染,1,45,66,0.79,31,3,159,268.03,1260.52,4174,
2015-09,83,34~201,良,2,50,59,0.837,43,5,109,278.86,1256.60,4449,
2015-10,106,27~344,轻度污染,1,74,86,0.955,55,6,74,289.28,1253.33,4793,
2015-11,153,37~450,中度污染,0,119,85,1.983,62,12,25,299.14,1250.80,5215,
2015-12,187,23~485,中度污染,0,152,172,2.865,76,20,26,306.54,1249.37,5613,
2016-1,97,32~316,良,2,68,88,1.584,53,20,42,316.69,1248.27,6312,
2016-02,71,34~238,良,2,44,59,0.903,35,15,68,324.24,1248.15,6978,
2016-03,132,37~365,轻度污染,1,93,136,1.229,57,18,79,330.98,1248.59,7709,
2016-04,106,43~209,轻度污染,1,69,118,0.803,44,10,116,336.88,1249.42,8493,
2016-05,111,49~234,轻度污染,1,54,90,0.665,38,8,160,341.94,1250.47,9317,
2016-06,126,50~189,轻度污染,1,59,70,0.767,35,5,183,346.15,1251.58,10171,
2016-07,118,40~177,轻度污染,1,69,74,0.916,33,3,159,349.51,1252.59,11044,
2016-08,94,34~179,良,2,47,60,0.832,35,3,135,352,1253.33,11923,
2016-09,86,0~211,良,2,55,73,0.76,43,3,104,353.62,1253.63,12798,
2016-10,116,29~292,轻度污染,1,85,101,1.155,56,4,47,354.35,1253.34,13656,
2016-11,133,28~315,轻度污染,1,100,134,1.797,68,11,28,354.19,1252.28,14487,
2016-12,168,54~431,中度污染,0,133,159,2.51,80,17,28,353.55,1251,15046,
2017-1,146,34~470,轻度污染,1,116,131,2.203,65,18,41,351.25,1247.46,16024,
2017-02,100,36~305,良,2,71,84,1.318,53,18,65,348.7,1244.20,16724,
2017-03,94,40~273,良,2,63,84,0.913,50,11,86,345.7,1241.01,17379,
2017-04,87,38~174,良,2,53,104,0.693,48,7,101,342.42,1238.37,17992,
2017-05,134,53~500,轻度污染,1,48,104,0.674,37,7,161,339.05,1236.76,18562,
2017-06,125,50~200,轻度污染,1,42,75,0.783,38,6,184,335.81,1236.67,19092,
2017-07,118,38~208,轻度污染,1,52,71,0.894,34,3,174,332.86,1238.58,19582,
2017-08,85,34~162,良,2,38,56,0.803,35,3,131,330.41,1242.97,20033,
2017-09,98,36~189,良,2,58,100,0.913,49,4,123,328.65,1250.32,20448,
2017-10,84,25~221,良,2,57,63,0.923,46,3,47,327.76,1261.12,20826,
2017-11,75,30~201,良,2,46,73,0.903,49,5,44,327.95,1275.85,21170,
2017-12,81,23~254,良,2,44,68,1.09,49,8,25,328.65,1386.78,21361,
2018-1,64,28~176,良,2,34,65,0.768,39,7,48,332.11,1318.46,21759,
2018-02,80,32~218,良,2,50,72,0.786,31,9,70,335.91,1345.53,22009,
2018-03,115,0~283,轻度污染,1,82,104,1.003,53,9,81,340.57,1375.40,22234,
2018-04,98,36~256,良,2,59,108,0.673,38,6,115,345.88,1407.30,22435,
2018-05,91,0~169,良,2,45,85,0.648,36,4,134,351.64,1440.41,22616,
2018-06,111,44~190,轻度污染,1,43,67,0.7,32,4,168,357.62,1473.97,22779,
2018-07,89,28~156,良,2,44,48,0.787,24,3,135,363.61,1507.17,22928,
2018-08,83,35~152,良,2,31,46,0.745,26,3,133,369.4,1539.23,23066,
2018-09,60,30~132,良,2,28,45,0.543,34,3,93,374.77,1569.35,23195,
2018-10,74,26~203,良,2,42,59,0.668,45,4,70,379.52,1596.74,23319,
2018-11,108,39~270,轻度污染,1,71,104,1.07,60,7,37,383.43,1620.62,23439,
2018-12,71,0~232,良,2,38,73,0.835,46,7,40,385,1631,23500,
2019-1,81,30~267,良,2,51,80,0.997,50,9,44,388.05,1655.13,23683,
2019-02,80,32~180,良,2,53,72,0.807,35,6,65,388.83,1665.36,23810,
2019-03,85,39~233,良,2,52,80,0.635,39,5,86,388.75,1670.90,23944,
2019-04,84,39~171,良,2,48,91,0.547,34,4,103,387.92,1671.77,24087,
2019-05,93,47~195,良,2,37,78,0.503,34,4,143,386.47,1667.98,24240,
2019-06,121,36~193,轻度污染,1,39,60,0.713,27,4,179,384.51,1659.54,24405,
2019-07,108,33~173,轻度污染,1,37,50,0.661,27,3,159,382.16,1646.44,24585,
2019-08,72,28~150,良,2,23,37,0.571,26,3,118,379.53,1628.71,24781,
2019-09,97,33~178,良,2,36,58,0.67,33,3,151,376.76,1606.34,24996,
2019-10,68,23~163,良,2,40,66,0.681,41,3,42,373.96,1579.36,25232,
2019-11,76,30~183,良,2,44,78,0.797,48,5,32,371.24,1547.75,25490,
2019-12,73,28~233,良,2,44,60,0.845,46,4,37,370.2,1533.82,25600,
2020-1,86,30~221,良,2,59,65,0.955,40,6,53,366.38,1471.42,26073,
2020-02,89,34~257,良,2,62,57,0.883,27,4,66,364.15,1428.29,26382,
2020-03,63,36~153,良,2,35,53,0.484,25,4,84,361.92,1383.21,26690,
2020-04,75,42~202,良,2,31,67,0.403,22,4,119,359.59,1337.20,26986,
2020-05,85,36~204,良,2,36,62,0.603,23,4,124,357.07,1291.27,27259,
2020-06,116,60~202,轻度污染,1,32,67,0.567,23,3,174,354.26,1246.45,27500,
2020-07,99,48~152,良,2,41,47,0.671,21,3,150,351.06,1203.75,27697,
2020-08,80,27~135,良,2,28,41,0.645,22,3,131,347.38,1164.20,27840,
2020-09,56,22~158,良,2,24,35,0.537,26,3,96,343.11,1128.82,27919,
2020-10,72,26~185,良,2,42,70,0.561,41,3,60,338.17,1098.62,27923,
2020-11,66,26~140,良,2,37,62,0.653,42,3,41,332.46,1074.62,27842,
2020-12,56,27~97,良,2,28,56,0.619,38,5,40,330.58,1068.78,27800,
2021-1,72,30~176,良,2,33,55,0.69,31,4,49,318.54,1047.79,27402,
2021-02,94,36~257,良,2,61,75,0.804,28,4,73,310.57,1043.94,27059,
2021-03,149,34~500,轻度污染,1,64,66,0.703,35,3,71,302.14,1045.35,26650,
2021-04,71,41~187,良,2,29,59,0.437,27,3,106,293.43,1051.18,26188,
2021-05,84,38~253,良,2,18,49,0.419,21,3,122,284.60,1060.59,25684,
2021-06,85,36~191,良,2,19,43,0.533,19,3,139,275.82,1072.74,25150,
2021-07,71,29~125,良,2,16,32,0.574,14,2,121,267.25,1086.78,24600,
2021-08,72,38~125,良,2,18,36,0.594,15,3,124,259.05,1101.88,24044,
2021-09,57,25~108,良,2,18,36,0.63,21,3,99,251.40,1117.19,23496,
2021-10,50,20~153,优,3,25,43,0.471,30,3,58,244.46,1131.88,22967,
2021-11,75,29~193,良,2,44,65,0.643,36,3,42,238.39,1145.11,22469,
2021-12,55,28~123,良,2,27,52,0.581,36,3,40,237.3,1147.5,22375,
2022-1,68,29~198,良,2,45,52,0.742,34,3,45,229.55,1163.79,21617,
2022-02,47,35~84,优,3,22,37,0.436,20,3,72,227.11,1167.57,21286,
2022-03,70,36~205,良,2,39,72,0.526,27,3,80,226.2,1166.52,21036,
2022-04,74,38~128,良,2,34,75,0.453,22,3,115,227,1159.80,20877,
2022-05,86,36~178,良,2,21,50,0.355,17,3,138,229.67,1146.57,20824,
2022-06,102,44~205,轻度污染,1,23,46,0.563,14,3,158,234.38,1125.99,20886,
2022-07,86,45~161,良,2,19,35,0.468,15,3,142,241.28,1097.22,21077,
2022-08,67,26~120,良,2,19,34,0.465,15,3,115,250.56,1059.42,21409,
2022-09,91,33~157,良,2,30,62,0.51,24,3,145,262.38,1011.74,21894,
2022-10,65,23~142,良,2,40,69,0.461,29,3,67,276.89,953.35,22544,
2022-11,71,24~156,良,2,45,75,0.55,32,3,46,294.27,883.40,23372,
2022-12,57,28~500,良,2,21,62,0.329,24,2,51,296.17,875.74,23465,
2023-1,61,29~117,良,2,32,68,0.429,26,3,54,,,,
2023-02,80,26~186,良,2,54,81,0.575,36,3,59,,,,
2023-03,117,40~500,轻度污染,1,60,147,0.519,32,3,93,,,,
2023-04,105,33~475,轻度污染,1,43,132,0.34,23,3,97,,,,
2023-05,91,37~170,良,2,31,72,0.452,20,3,138,,,,
2023-06,112,49~203,轻度污染,1,20,45,0.39,19,3,170,,,,
2023-07,93,19~181,良,2,19,36,0.458,15,3,147,,,,
2023-08,71,30~123,良,2,22,38,0.494,15,3,122,,,,
2023-09,70,29~118,良,2,29,48,0.52,22,3,115,,,,
2023-10,64,29~178,良,2,36,67,0.519,31,3,79,,,,
2023-11,59,25~170,良,2,31,64,0.45,27,2,53,,,,